mode,checkpoint,checkpoint_environment_steps,overall_red_win_rate,elimination_red_win_rate,timeout_survivor_red_win_rate,blue_win_rate,draw_rate,timeout_rate,mean_episode_return,mean_episode_steps,mean_red_survivors,mean_blue_survivors,mean_survivor_difference,mean_red_hits,mean_blue_hits,mean_red_effective_damage,mean_blue_effective_damage,red_crash_rate,blue_crash_rate,mean_collisions,has_support_agent,support_metrics_applicable,support_survival_rate,mission_success_rate,support_detection_coverage_mean,relay_visible_enemy_count_mean,support_incoming_threat_mean,support_position_error_mean,combat_attack_attempts_mean,combat_hits_mean,combat_effective_damage_mean,policy_entropy_mean,logits_top1_top2_margin_mean,terminal_reward_proportion,mean_observation_saturation_ratio
homogeneous_control,initial,0,0.0,0.0,0.0,1.0,0.0,0.0,-121.3890983330044,42.9,0.0,3.0,-3.0,0.0,0.05,0.0,0.55,1.0,0.0,0.0,missing,missing,missing,missing,missing,missing,missing,missing,0.0,0.0,0.0,2.708033672981937,0.002353296913135963,0.7845006527996448,0.0
homogeneous_control,last,301056,0.0,0.0,0.0,0.85,0.15,1.0,-53.253532967070804,400.0,2.05,3.0,-0.9500000000000002,0.0,0.1,0.0,1.6,0.0,0.0,0.0,missing,missing,missing,missing,missing,missing,missing,missing,0.0,0.0,0.0,2.2082907124766558,0.4461218777723681,0.6121998532436377,0.0
homogeneous_control,best,51200,0.0,0.0,0.0,0.95,0.05,0.55,-124.58662898838786,315.95,0.75,3.0,-2.25,0.3,26.5,4.8,522.85,0.15,0.0,0.0,missing,missing,missing,missing,missing,missing,missing,missing,0.35,0.3,4.8,2.550390968771212,0.11815820591446234,0.5416347195965305,0.0024154589371980675
heterogeneous_no_relay,initial,0,0.0,0.0,0.0,1.0,0.0,0.0,-125.53063251515661,97.15,0.0,3.0,-3.0,0.4,20.65,9.9,394.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9658229162670315,0.0,0.22934415385052337,438.54886203935575,0.4,0.4,9.9,2.7080363641686405,0.001885630217338354,0.7387242160267831,0.0
heterogeneous_no_relay,last,301056,0.0,0.0,0.0,1.0,0.0,0.95,-57.86909449924351,388.8,1.0,3.0,-2.0,0.0,0.15,0.0,3.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2915298632403709,1038.2270509070531,0.0,0.0,0.0,1.9910127260523547,0.7253539574097386,0.8512060917511096,0.0
heterogeneous_no_relay,best,151552,0.0,0.0,0.0,1.0,0.0,0.25,-113.2666364846893,209.6,0.45,3.0,-2.55,0.0,25.75,0.0,489.6,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.9897384883137569,0.0,0.31525427474567763,630.1409013352277,0.0,0.0,0.0,2.199246665331237,0.4897698849621443,0.6607202925223843,0.0
heterogeneous_relay,initial,0,0.0,0.0,0.0,1.0,0.0,0.0,-129.2481127012858,115.05,0.0,3.0,-3.0,0.3,23.8,5.8,467.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8981247066905164,0.8638414537243975,0.20120262527311827,482.5843722506268,0.4,0.3,5.8,2.7080347231751074,0.0016056895221120229,0.6881582477453071,0.0
heterogeneous_relay,last,301056,0.0,0.0,0.0,1.0,0.0,0.45,-88.64794030023056,256.8,0.45,3.0,-2.55,0.4,10.7,8.4,213.45,0.85,0.0,0.0,1.0,1.0,0.0,0.0,0.8124495198078489,1.0460368405476026,0.2585565641702362,531.5004338369515,0.6,0.4,8.4,2.2258043221251094,0.3941190486516896,0.7797284307480318,0.0
heterogeneous_relay,best,51200,0.0,0.0,0.0,1.0,0.0,0.2,-119.5640134864022,243.3,0.2,3.0,-2.8,3.5,33.95,74.0,651.55,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8113176230799048,1.2681804489428274,0.38382880105809647,1810.1171991567098,4.45,3.5,74.0,2.5041990571169035,0.23598906865239372,0.6499956564970624,0.0
