mode,complete,missing_artifacts,environment_steps,expected_rollout_aligned_steps,updates,metrics_rows,episodes,metrics_last_step,evaluations_last_step,final_summary_step,initial_checkpoint,last_checkpoint,best_checkpoint,best_checkpoint_step,best_step_in_validation,test_initial,test_last,test_best,schema,obs_dim,state_dim,seed,num_envs,rollout_length,opponent,functional_mode,relay_enabled,metrics_nan_cells,metrics_inf_cells,metrics_empty_columns,evaluations_nan_cells,evaluations_inf_cells,evaluations_empty_columns
homogeneous_control,True,,301056,301056,147,147,893,301056,301056,301056,True,True,True,51200,True,True,True,True,functional_heterogeneous_3v3_v1,69,64,1,16,128,greedy_combat,homogeneous_control,False,0,0,0,0,0,0
heterogeneous_no_relay,True,,301056,301056,147,147,915,301056,301056,301056,True,True,True,151552,True,True,True,True,functional_heterogeneous_3v3_v1,69,64,1,16,128,greedy_combat,heterogeneous_no_relay,False,0,0,0,0,0,0
heterogeneous_relay,True,,301056,301056,147,147,1027,301056,301056,301056,True,True,True,51200,True,True,True,True,functional_heterogeneous_3v3_v1,69,64,1,16,128,greedy_combat,heterogeneous_relay,True,0,0,0,0,0,0
