mode,window,status,updates,start_update,end_update,start_environment_steps,end_environment_steps,selection_metric_value,rollout_return_mean,rollout_return_std,timeout_rate_mean,timeout_rate_std,red_hits_mean,red_hits_std,red_effective_damage_mean,red_effective_damage_std,blue_hits_mean,blue_hits_std,blue_effective_damage_mean,blue_effective_damage_std,entropy_mean,entropy_std,support_survival_mean,support_survival_std,support_coverage_mean,support_coverage_std,relay_visible_mean,relay_visible_std,support_incoming_threat_mean,support_incoming_threat_std,support_position_error_mean,support_position_error_std,mission_success_mean,mission_success_std,final_cumulative_sps,min_cumulative_sps,max_cumulative_sps
homogeneous_control,all,selected,147,1.0,147.0,2048.0,301056.0,missing,-94.74435130999017,16.530721559734985,0.6933282259512752,0.3029938119063942,0.010140419804285353,0.09957232828447894,0.19503255847793666,1.7863123307224933,7.8607031701569525,6.4724719747009765,149.5933076838239,121.70510479210519,2.3321587524631355,0.16370630510573625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.51785243792577,123.097855031531,229.9388956689555
homogeneous_control,last_10,selected,10,138.0,147.0,282624.0,301056.0,missing,-77.54943189934247,11.119727289103528,0.9833333333333334,0.05270462766947298,0.0,0.0,0.0,0.0,2.7708333333333335,2.596172544866009,55.92666666666666,50.05547737076148,2.1114943758184923,0.05031603772774958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.51785243792577,129.88975159176783,133.51785243792577
homogeneous_control,last_20,selected,20,128.0,147.0,262144.0,301056.0,missing,-78.14450599866407,11.487054027724392,0.9545238095238094,0.1043335398054943,0.0,0.0,0.0,0.0,2.6180357142857145,2.8760922694347246,51.44785714285714,55.11887639103627,2.128449364203438,0.05706505583531561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.51785243792577,125.63486334687944,133.51785243792577
homogeneous_control,best_10_return,selected,10,137.0,146.0,280576.0,299008.0,-77.37656094144137,-77.37656094144138,10.86699284023546,0.9633333333333333,0.0776983721646537,0.0,0.0,0.0,0.0,2.7441666666666666,2.575825559857425,52.986666666666665,48.000427467232385,2.0967330870663146,0.0546119310230716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.19148601801214,129.47149739336623,133.19148601801214
homogeneous_control,best_10_red_damage,tied_best,0,missing,missing,missing,missing,2.091978609625669,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
homogeneous_control,best_10_mission_success,tied_all_zero,0,missing,missing,missing,missing,0.0,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
heterogeneous_no_relay,all,selected,147,1.0,147.0,2048.0,301056.0,missing,-80.52260087881783,17.86322999146168,0.6916035967056374,0.3267901312470974,0.0,0.0,0.0,0.0,6.918437835784775,5.6017568794935215,131.03979703214398,105.28060263250286,2.321659708363906,0.15558842669779882,0.027896555447575855,0.088559955495531,0.8970369407836616,0.15791914282695294,0.0,0.0,0.2691781744227295,0.05142866374029281,855.1038351285374,599.067006199577,0.0,0.0,145.35816782199322,131.52908955646046,287.818786036119
heterogeneous_no_relay,last_10,selected,10,138.0,147.0,282624.0,301056.0,missing,-62.70290259098575,8.50860796346641,0.9800000000000001,0.06324555320336758,0.0,0.0,0.0,0.0,0.9233333333333335,1.1969147581476323,20.756666666666668,26.735291560310593,2.0542745923748726,0.04001595012291382,0.0,0.0,0.9957092720549211,0.005847208862186391,0.0,0.0,0.2951973454042677,0.018965223204007908,662.6415471527719,75.92827224485603,0.0,0.0,145.35816782199322,141.92367519614567,145.35816782199322
heterogeneous_no_relay,last_20,selected,20,128.0,147.0,262144.0,301056.0,missing,-68.95599875214171,10.789414724854762,0.8544642857142858,0.22945340587413285,0.0,0.0,0.0,0.0,1.0383928571428571,1.2524313312980075,20.44339285714286,24.883655848601986,2.099156174990574,0.057211576267505476,0.0,0.0,0.9902929900983264,0.01295681964888119,0.0,0.0,0.28453548602879664,0.024877090808654086,648.6416633228022,75.3599957133279,0.0,0.0,145.35816782199322,137.65636697440482,145.35816782199322
heterogeneous_no_relay,best_10_return,selected,10,47.0,56.0,96256.0,114688.0,-59.25677790687414,-59.25677790687414,3.7380892354575974,1.0,0.0,0.0,0.0,0.0,0.0,3.1202380952380953,1.661485237598994,63.38809523809523,31.378021818024095,2.3644305177192,0.015522988145375423,0.02,0.06324555320336757,0.9404082405513318,0.08290791473024244,0.0,0.0,0.2329368010095846,0.05171749288017144,582.2944879037398,190.18847252660086,0.0,0.0,138.22377050626196,131.52908955646046,170.22248423129193
heterogeneous_no_relay,best_10_red_damage,tied_all_zero,0,missing,missing,missing,missing,0.0,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
heterogeneous_no_relay,best_10_mission_success,tied_all_zero,0,missing,missing,missing,missing,0.0,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
heterogeneous_relay,all,selected,147,1.0,147.0,2048.0,301056.0,missing,-94.06967405017546,17.62660978827762,0.4596964571154247,0.32420487163568257,0.060770975056689346,0.2561871575026473,1.128042328042328,4.6256950873519935,12.12397916209441,7.176656651193462,228.12961176478584,137.26020228162008,2.3405187281961797,0.1275286862702101,0.015103660511823774,0.10501823688287892,0.9056496326031198,0.13344136157266215,0.4950272263610255,0.28366752404409235,0.26627414620471607,0.058722236276277116,719.6484847015837,507.83995752748694,0.0,0.0,156.2766125912178,139.7509087451755,280.4785199816182
heterogeneous_relay,last_10,selected,10,138.0,147.0,282624.0,301056.0,missing,-84.88852722047922,8.048193958406399,0.5632142857142857,0.20699110326397094,0.0,0.0,0.0,0.0,5.65202380952381,3.205672275018121,107.55515873015875,61.6995106836894,2.2136026234485175,0.029983773648813997,0.0,0.0,0.975635933265492,0.018638106381404392,0.36678916340059187,0.08281933811286864,0.2529705055290841,0.03728794552472412,471.3193367831676,76.41013180416026,0.0,0.0,156.2766125912178,153.050092229541,156.2766125912178
heterogeneous_relay,last_20,selected,20,128.0,147.0,262144.0,301056.0,missing,-86.59555894912435,12.822693661513332,0.5709126984126984,0.2009242915576084,0.04166666666666667,0.18633899812498259,0.5416666666666667,2.4224069756247717,6.679345238095239,4.85910728732747,124.74299603174605,90.9616517382541,2.2185397793051127,0.03970053444544514,0.0,0.0,0.9832562040499878,0.016750210562620365,0.3239139113042594,0.07898147783536387,0.27087886552240414,0.039629390543769315,462.4598235229743,64.27034166443501,0.0,0.0,156.2766125912178,149.0547786195155,156.2766125912178
heterogeneous_relay,best_10_return,selected,10,50.0,59.0,102400.0,120832.0,-66.67484791478412,-66.67484791478412,9.772410641720654,0.951388888888889,0.08617828920826984,0.0,0.0,0.0,0.0,7.698333333333333,4.576998652683509,136.24972222222223,76.19749693963874,2.35583204704188,0.030735919788051895,0.0,0.0,0.8882595080298252,0.10998408299404534,0.27054511921292823,0.05095183317623201,0.22302075508808156,0.08114808113198685,536.2446783360049,193.20157895293414,0.0,0.0,149.20832951801248,139.7509087451755,149.20832951801248
heterogeneous_relay,best_10_red_damage,tied_best,0,missing,missing,missing,missing,7.354722222222222,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
heterogeneous_relay,best_10_mission_success,tied_all_zero,0,missing,missing,missing,missing,0.0,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
